parental_rnai,parental_treatment,treatment,plate,worm,set_up_date,death_date
raga,plight,dark,5,7,08-Mar,28-Mar
raga,plight,dark,5,8,08-Mar,28-Mar
raga,plight,light,5,1,08-Mar,12-Mar
raga,plight,light,5,2,08-Mar,12-Mar
raga,plight,light,5,3,08-Mar,12-Mar
raga,plight,light,5,5,08-Mar,14-Mar
raga,plight,light,5,6,08-Mar,14-Mar
raga,plight,light,5,7,08-Mar,14-Mar
raga,plight,light,5,8,08-Mar,14-Mar
raga,plight,light,5,9,08-Mar,14-Mar
raga,plight,light,5,10,08-Mar,14-Mar
ev,pdark,dark,5,2,16-Apr,26-Apr
ev,pdark,dark,5,3,16-Apr,07-May
ev,pdark,dark,5,4,16-Apr,10-May
ev,pdark,dark,5,5,16-Apr,10-May
ev,pdark,dark,5,6,16-Apr,10-May
ev,pdark,dark,5,7,16-Apr,10-May
ev,pdark,dark,5,8,16-Apr,11-May
ev,pdark,dark,5,9,16-Apr,13-May
ev,pdark,dark,5,10,16-Apr,14-May
ev,pdark,light,5,1,16-Apr,23-Apr
ev,pdark,light,5,2,16-Apr,23-Apr
ev,pdark,light,5,3,16-Apr,23-Apr
ev,pdark,light,5,4,16-Apr,24-Apr
ev,pdark,light,5,5,16-Apr,24-Apr
ev,pdark,light,5,6,16-Apr,24-Apr
ev,pdark,light,5,7,16-Apr,24-Apr
ev,pdark,light,5,8,16-Apr,24-Apr
ev,pdark,light,5,9,16-Apr,24-Apr
ev,pdark,light,5,10,16-Apr,24-Apr
ev,plight,dark,5,2,16-Apr,03-May
ev,plight,dark,5,3,16-Apr,04-May
ev,plight,dark,5,4,16-Apr,04-May
ev,plight,dark,5,5,16-Apr,08-May
ev,plight,dark,5,6,16-Apr,09-May
ev,plight,dark,5,7,16-Apr,09-May
ev,plight,dark,5,8,16-Apr,10-May
ev,plight,dark,5,9,16-Apr,10-May
ev,plight,light,5,3,16-Apr,24-Apr
ev,plight,light,5,4,16-Apr,24-Apr
ev,plight,light,5,5,16-Apr,24-Apr
ev,plight,light,5,6,16-Apr,24-Apr
ev,plight,light,5,7,16-Apr,24-Apr
ev,plight,light,5,8,16-Apr,24-Apr
Raga,PLight,Dark,5,7,16-Apr,NA
Raga,PLight,Dark,5,8,16-Apr,NA
Raga,PLight,Dark,5,9,16-Apr,NA
Raga,PLight,Dark,5,10,16-Apr,NA
ev,plight,light,5,9,16-Apr,25-Apr
ev,plight,light,5,10,16-Apr,25-Apr
raga,plight,dark,5,1,16-Apr,04-May
raga,plight,dark,5,2,16-Apr,04-May
raga,plight,dark,5,3,16-Apr,05-May
raga,plight,dark,5,4,16-Apr,07-May
raga,plight,dark,5,5,16-Apr,11-May
raga,plight,dark,5,6,16-Apr,11-May
raga,plight,light,5,2,16-Apr,22-Apr
raga,plight,light,5,3,16-Apr,22-Apr
raga,plight,light,5,4,16-Apr,22-Apr
raga,plight,light,5,5,16-Apr,22-Apr
raga,plight,light,5,6,16-Apr,22-Apr
raga,plight,light,5,7,16-Apr,22-Apr
raga,plight,light,5,8,16-Apr,22-Apr
raga,plight,light,5,10,16-Apr,24-Apr
Raga,PLight,Light,5,1,16-Apr,22-Apr
Raga,PLight,Light,5,9,16-Apr,22-Apr
EV,PDark,Dark,4,1,07-Mar,14-Mar
EV,PDark,Light,4,1,07-Mar,14-Mar
EV,PDark,Light,4,2,07-Mar,14-Mar
Raga,PDark,Dark,4,1,07-Mar,19-Mar
Raga,PDark,Dark,4,3,07-Mar,21-Mar
Raga,PDark,Light,4,10,07-Mar,NA
EV,PLight,Dark,4,1,08-Mar,NA
EV,PLight,Dark,4,8,08-Mar,NA
EV,PLight,Dark,4,9,08-Mar,NA
EV,PLight,Dark,4,10,08-Mar,NA
EV,PLight,Light,4,3,08-Mar,NA
EV,PLight,Light,4,4,08-Mar,NA
EV,PLight,Light,4,5,08-Mar,NA
EV,PLight,Light,4,6,08-Mar,NA
EV,PLight,Light,4,7,08-Mar,NA
EV,PLight,Light,4,8,08-Mar,NA
EV,PLight,Light,4,9,08-Mar,NA
EV,PLight,Light,4,10,08-Mar,NA
Raga,PLight,Dark,4,1,08-Mar,11-Mar
Raga,PLight,Dark,4,7,08-Mar,NA
Raga,PLight,Dark,4,8,08-Mar,NA
Raga,PLight,Dark,4,9,08-Mar,NA
Raga,PLight,Dark,4,10,08-Mar,NA
EV,PDark,Dark,4,9,16-Apr,NA
EV,PDark,Dark,4,10,16-Apr,NA
ev,pdark,dark,4,2,07-Mar,18-Mar
ev,pdark,dark,4,3,07-Mar,22-Mar
ev,pdark,dark,4,4,07-Mar,23-Mar
ev,pdark,dark,4,5,07-Mar,26-Mar
ev,pdark,dark,4,6,07-Mar,26-Mar
ev,pdark,dark,4,7,07-Mar,27-Mar
ev,pdark,dark,4,8,07-Mar,27-Mar
ev,pdark,dark,4,9,07-Mar,27-Mar
ev,pdark,dark,4,10,07-Mar,03-Apr
ev,pdark,light,4,3,07-Mar,14-Mar
ev,pdark,light,4,4,07-Mar,14-Mar
ev,pdark,light,4,5,07-Mar,15-Mar
ev,pdark,light,4,6,07-Mar,15-Mar
ev,pdark,light,4,7,07-Mar,15-Mar
EV,PDark,Light,4,1,16-Apr,19-Apr
EV,PDark,Light,4,2,16-Apr,22-Apr
EV,PDark,Light,4,3,16-Apr,22-Apr
EV,PDark,Light,4,4,16-Apr,22-Apr
ev,pdark,light,4,8,07-Mar,15-Mar
ev,pdark,light,4,9,07-Mar,15-Mar
ev,pdark,light,4,10,07-Mar,15-Mar
raga,pdark,dark,4,2,07-Mar,21-Mar
raga,pdark,dark,4,4,07-Mar,25-Mar
EV,PDark,Light,4,10,16-Apr,NA
raga,pdark,dark,4,5,07-Mar,26-Mar
raga,pdark,dark,4,6,07-Mar,26-Mar
raga,pdark,dark,4,7,07-Mar,27-Mar
raga,pdark,dark,4,8,07-Mar,27-Mar
raga,pdark,dark,4,9,07-Mar,28-Mar
raga,pdark,dark,4,10,07-Mar,01-Apr
raga,pdark,light,4,1,07-Mar,14-Mar
raga,pdark,light,4,2,07-Mar,14-Mar
raga,pdark,light,4,3,07-Mar,15-Mar
raga,pdark,light,4,4,07-Mar,15-Mar
raga,pdark,light,4,5,07-Mar,15-Mar
raga,pdark,light,4,6,07-Mar,15-Mar
raga,pdark,light,4,7,07-Mar,15-Mar
raga,pdark,light,4,8,07-Mar,15-Mar
raga,pdark,light,4,9,07-Mar,15-Mar
ev,plight,dark,4,2,09-Mar,19-Mar
ev,plight,dark,4,3,09-Mar,24-Mar
ev,plight,dark,4,4,09-Mar,27-Mar
ev,plight,dark,4,5,09-Mar,27-Mar
ev,plight,dark,4,6,09-Mar,31-Mar
ev,plight,dark,4,7,09-Mar,01-Apr
ev,plight,light,4,1,09-Mar,15-Mar
ev,plight,light,4,2,09-Mar,15-Mar
raga,plight,dark,4,2,08-Mar,15-Mar
raga,plight,dark,4,3,08-Mar,20-Mar
raga,plight,dark,4,4,08-Mar,26-Mar
Raga,PDark,Dark,4,1,16-Apr,NA
Raga,PDark,Dark,4,2,16-Apr,NA
Raga,PDark,Dark,4,3,16-Apr,NA
Raga,PDark,Dark,4,4,16-Apr,NA
Raga,PDark,Dark,4,5,16-Apr,NA
Raga,PDark,Dark,4,6,16-Apr,NA
Raga,PDark,Dark,4,7,16-Apr,NA
Raga,PDark,Dark,4,8,16-Apr,NA
Raga,PDark,Dark,4,9,16-Apr,NA
Raga,PDark,Dark,4,10,16-Apr,NA
raga,plight,dark,4,5,08-Mar,27-Mar
raga,plight,dark,4,6,08-Mar,29-Mar
raga,plight,light,4,1,08-Mar,12-Mar
raga,plight,light,4,2,08-Mar,12-Mar
raga,plight,light,4,3,08-Mar,13-Mar
raga,plight,light,4,4,08-Mar,13-Mar
raga,plight,light,4,5,08-Mar,13-Mar
raga,plight,light,4,6,08-Mar,14-Mar
raga,plight,light,4,7,08-Mar,14-Mar
raga,plight,light,4,8,08-Mar,14-Mar
raga,plight,light,4,9,08-Mar,14-Mar
raga,plight,light,4,10,08-Mar,14-Mar
ev,pdark,dark,4,1,16-Apr,26-Apr
ev,pdark,dark,4,2,16-Apr,05-May
ev,pdark,dark,4,3,16-Apr,06-May
ev,pdark,dark,4,4,16-Apr,07-May
