rnai,treatment,replicate,day,offspring
raga,light,7,1,14
ev,dark,7,1,17
ev,dark,7,1,23
ev,dark,7,3,30
ev,light,7,3,31
ev,light,7,1,34
raga,light,7,3,43
ev,dark,7,3,57
ev,light,7,1,64
raga,light,7,3,77
ev,light,7,3,85
ev,light,7,2,89
raga,light,7,2,91
raga,dark,7,3,97
raga,light,7,2,105
ev,light,7,2,143
raga,dark,7,2,160
ev,dark,7,2,186
ev,dark,7,2,192
ev,light,7,4,NA
ev,light,7,5,NA
raga,light,7,4,NA
raga,light,7,5,NA
ev,light,7,4,NA
ev,light,6,1,28
raga,light,6,3,30
ev,dark,6,3,33
raga,dark,6,1,35
raga,dark,6,3,42
ev,dark,6,1,44
raga,light,6,3,49
ev,dark,6,1,51
ev,light,6,1,51
ev,light,6,3,58
raga,light,6,1,60
ev,dark,6,3,65
ev,light,6,3,68
raga,light,6,2,74
ev,light,6,2,105
raga,light,6,2,121
ev,light,6,2,138
raga,dark,6,2,171
ev,dark,6,2,182
ev,dark,6,2,199
ev,light,6,4,NA
ev,light,6,5,NA
raga,light,6,4,NA
raga,light,6,5,NA
raga,light,5,1,18
raga,dark,5,1,22
raga,light,5,1,30
ev,light,5,1,31
ev,dark,5,1,38
ev,light,5,3,41
ev,light,5,1,46
raga,dark,5,3,60
ev,dark,5,3,65
raga,light,5,3,73
ev,light,5,3,83
raga,light,5,2,91
raga,light,5,2,92
raga,light,5,3,102
ev,light,5,2,119
ev,light,5,2,139
raga,dark,5,2,157
ev,dark,5,2,189
ev,light,5,4,NA
ev,light,5,5,NA
raga,light,5,4,NA
raga,light,5,5,NA
raga,dark,4,1,20
ev,dark,4,3,36
raga,light,4,1,38
ev,dark,4,1,42
raga,light,4,3,43
ev,light,4,3,45
raga,light,4,1,57
ev,light,4,1,58
ev,light,4,1,71
raga,dark,4,3,81
ev,light,4,3,106
raga,light,4,3,106
ev,light,4,2,123
raga,light,4,2,124
raga,light,4,2,130
ev,light,4,2,154
raga,dark,4,2,167
ev,dark,4,2,199
ev,light,4,4,NA
ev,light,4,5,NA
raga,light,4,5,NA
ev,light,3,4,16
ev,light,3,1,17
raga,dark,3,3,20
raga,light,3,1,32
ev,dark,3,3,35
ev,light,3,3,46
ev,light,3,1,53
raga,dark,3,1,55
ev,dark,3,1,60
raga,light,3,3,80
raga,light,3,2,102
ev,light,3,3,109
ev,light,3,2,132
ev,light,3,2,134
raga,dark,3,2,193
ev,dark,3,2,211
ev,light,3,4,NA
ev,light,3,5,NA
raga,light,3,1,NA
raga,light,3,2,NA
raga,light,3,3,NA
raga,light,3,4,NA
raga,light,3,5,NA
raga,light,2,1,22
ev,dark,2,1,26
ev,light,2,1,35
ev,light,2,3,40
raga,dark,2,1,42
raga,light,2,1,47
ev,dark,2,3,48
ev,light,2,1,49
ev,light,2,3,60
raga,light,2,3,70
raga,light,2,2,87
raga,light,2,2,101
raga,dark,2,2,110
ev,light,2,2,122
ev,light,2,2,142
ev,dark,2,2,188
ev,light,2,4,NA
ev,light,2,5,NA
raga,light,2,5,NA
ev,dark,1,3,21
ev,dark,1,3,25
ev,dark,1,1,41
raga,dark,1,1,41
ev,light,1,3,42
ev,light,1,1,42
raga,light,1,3,44
raga,light,1,1,48
raga,light,1,1,52
ev,light,1,1,54
ev,dark,1,1,62
ev,light,1,3,70
raga,light,1,3,80
raga,dark,1,3,89
raga,light,1,2,105
raga,light,1,2,114
ev,light,1,2,122
ev,light,1,2,153
raga,dark,1,2,183
ev,dark,1,2,186
ev,dark,1,2,218
ev,light,1,4,NA
ev,light,1,5,NA
raga,light,1,5,NA
